"Story","Title","Result","Date","Stability","Duration (s)"
"C08 f01 s001 get catalog list","C08-F01-S001-01 Test get category list","SUCCESS","2017-10-30T03:10:07.349Z","0.0","1.91"
"C08 f01 s002 get offering list","C08-F01-S002-01 Test get offering list belongs to catalog","SUCCESS","2017-10-30T03:45:22.259Z","0.0","24.39"
"C08 f01 s003 get offering detail","C08-F01-S003-01 Test get offering detail information","SUCCESS","2017-10-30T03:45:47.260Z","0.0","2.79"
"C08 f01 s004 get service list","C08-F01-S004-01 Test get service list belongs to catalog","SUCCESS","2017-10-30T03:45:50.058Z","0.0","1.31"
"C08 f01 s005 get featured offerings","C08-F01-S005-01 Test get featured offering belongs to catalog","SUCCESS","2017-10-30T03:45:51.452Z","0.0","2.8"
"C08 f01 s006 get catalog detail","C08-F01-S006-01 Test get category detail information","SUCCESS","2017-10-30T03:45:54.353Z","0.0","1.41"
"C08 f01 s008 get offering price","C08-F01-S008-01 Test get offering price","SUCCESS","2017-10-30T03:45:58.075Z","0.0","1.28"
"C08 f01 s009 get full category","C08-F01-S009-01 Test get full category structure","SUCCESS","2017-10-30T03:45:59.369Z","0.0","0.92"
"C08 f01 s010 add to cart","C08-F01-S010-01 Test add offering to cart","SUCCESS","2017-10-30T03:46:00.301Z","0.0","2.65"
"C08 f01 s011 update cart item quantity","C08-F01-S011-01 Test update item quantity in cart","SUCCESS","2017-10-30T03:46:02.955Z","0.0","2.6"
"C08 f02 s001 submit service request","C08-F02-S001-01 Test submit a order without form on service offering","SUCCESS","2017-10-30T03:46:05.556Z","0.0","2.9"
"C08 f02 s002 submit support request","C08-F02-S002-01 Test submit a generic support request","SUCCESS","2017-10-30T03:46:08.456Z","0.0","1.05"
"C08 f02 s003 submit cart order","C08-F02-S003-01 Test submit a cart order","SUCCESS","2017-10-30T03:46:09.514Z","0.0","2.82"
"C08 f03 s001 get chat status","C08-F03-S001-01 Test chat functionality is enabled","SUCCESS","2017-10-30T03:10:43.051Z","0.0","1.11"
"C08 f04 s001 auto suggested search","C08-F04-S001-01 Test auto suggested search only article and news","SUCCESS","2017-10-30T03:10:44.166Z","0.0","3.16"
"C08 f04 s001 auto suggested search","C08-F04-S001-02 Test auto suggested search only service offering","SUCCESS","2017-10-30T03:10:47.327Z","0.0","1.18"
"C08 f04 s001 auto suggested search","C08-F04-S001-03 Test auto suggested search only support offering","SUCCESS","2017-10-30T03:10:48.507Z","0.0","1.69"
"C08 f04 s002 search","C08-F04-S002-01 Test search","SUCCESS","2017-10-30T03:10:50.279Z","0.0","1.62"
"C08 f04 s003 search view article","C08-F04-S003-01 Test view article in search result","SUCCESS","2017-10-30T03:10:51.901Z","0.0","3.95"
